# ----------------------------------------
# jordanshaw.com
# Pages
# 20150501-20160503
# ----------------------------------------

Page,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,"1,110",971,00:02:10,937,51.66%,79.37%,US$0.00
/jjjj/,100,77,00:04:09,77,77.92%,77.00%,US$0.00
/about,53,41,00:00:59,10,90.00%,58.49%,US$0.00
/?from=http://www.traffic-cash.xyz/,43,43,00:00:00,43,100.00%,100.00%,US$0.00
/2874277-refactored-canadiana-landscapes,42,26,00:00:49,1,100.00%,19.05%,US$0.00
/?from=http://www.traffic2cash.xyz/,36,36,00:00:00,36,100.00%,100.00%,US$0.00
/?from=http://net-profits.xyz/,28,28,00:00:00,28,100.00%,100.00%,US$0.00
/3017108-technically-natural,24,17,00:03:10,5,20.00%,41.67%,US$0.00
/2893282-exquisite-city,22,8,00:01:34,0,0.00%,13.64%,US$0.00
/untitled-gallery,22,15,00:00:29,1,0.00%,9.09%,US$0.00
/2859657-social-artifacts,18,14,00:01:05,1,0.00%,0.00%,US$0.00
/2874354-yourcity,18,12,00:01:06,6,66.67%,33.33%,US$0.00
/2874248-year-of-the-hare,17,12,00:00:50,2,0.00%,11.76%,US$0.00
/2889679-3d-laser-cutter,16,9,00:01:46,1,0.00%,12.50%,US$0.00
/2874346-enjoy-nuit-blanche,14,11,00:02:09,0,0.00%,21.43%,US$0.00
/site/design,14,5,00:00:27,0,0.00%,7.14%,US$0.00
/2874284-memories,13,12,00:01:42,0,0.00%,23.08%,US$0.00
/2874307-tab-roulette,13,10,00:02:25,0,0.00%,0.00%,US$0.00
/2874308-the-cannescellation,13,8,00:00:14,2,50.00%,15.38%,US$0.00
/?from=http://socialbuttons.xyz/,12,12,00:00:00,12,100.00%,100.00%,US$0.00
/2874249-doors-open-mobile,12,10,00:00:41,0,0.00%,16.67%,US$0.00
/2876628-donate-for-karma,12,6,00:01:34,0,0.00%,0.00%,US$0.00
/site/theme_configs/1403254/custom_preview/shaw-jordan,12,6,00:00:44,3,33.33%,33.33%,US$0.00
