# ----------------------------------------
# jordanshaw.com
# Pages
# 20160403-20160503
# ----------------------------------------

Page,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,94,86,00:00:35,86,83.72%,84.04%,US$0.00
/?from=http://socialbuttons.xyz/,12,12,00:00:00,12,100.00%,100.00%,US$0.00
/about,9,9,00:01:26,2,100.00%,55.56%,US$0.00
/2874277-refactored-canadiana-landscapes,6,4,00:03:29,1,100.00%,66.67%,US$0.00
www.jordanshaw.com/,6,5,00:00:36,5,80.00%,83.33%,US$0.00
/site/theme_configs/1403254/custom_preview/shaw-jordan,4,3,00:01:00,3,33.33%,50.00%,US$0.00
assets.txmblr.com/customize_preview_receiver.html?03e52be36549f495388646b2cc9f6e85=,4,1,00:00:36,1,0.00%,25.00%,US$0.00
/3017108-technically-natural,3,3,00:00:37,2,50.00%,66.67%,US$0.00
/site/design,3,2,00:00:05,0,0.00%,33.33%,US$0.00
thesis.jordanshaw.com/,3,1,00:04:15,1,0.00%,0.00%,US$0.00
/contact,2,2,00:00:16,0,0.00%,50.00%,US$0.00
www.jordanshaw.com/3017108-technically-natural,2,1,00:05:45,0,0.00%,0.00%,US$0.00
/2874249-doors-open-mobile,1,1,00:00:06,0,0.00%,0.00%,US$0.00
thesis.jordanshaw.com/post/143594717518/starting-down-the-path-of-my-thesis-with-my-first,1,1,00:00:00,0,0.00%,100.00%,US$0.00
,150,131,00:01:23,113,82.30%,75.33%,US$0.00

Day Index,Page Views
03/04/2016,2
04/04/2016,1
05/04/2016,5
06/04/2016,6
07/04/2016,1
08/04/2016,3
09/04/2016,2
10/04/2016,18
11/04/2016,7
12/04/2016,0
13/04/2016,1
14/04/2016,2
15/04/2016,2
16/04/2016,2
17/04/2016,2
18/04/2016,2
19/04/2016,5
20/04/2016,6
21/04/2016,2
22/04/2016,7
23/04/2016,2
24/04/2016,2
25/04/2016,33
26/04/2016,6
27/04/2016,5
28/04/2016,3
29/04/2016,2
30/04/2016,1
01/05/2016,4
02/05/2016,14
03/05/2016,2
,150
